City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,ponnamaravati,10.3,78.55,30.46,50,52,4.97,IN,1731311439
56,daru,-9.0763,143.2092,26.93,81,100,5.02,PG,1731311439
57,susuman,62.7833,148.1667,-24.32,91,100,1.45,RU,1731311439
58,dongola,19.1667,30.4833,26.23,23,4,8.06,SD,1731311439
59,krasnotur'insk,59.7666,60.2086,-5.5,59,1,2.96,RU,1731311326
60,udachny,66.4167,112.4,-15.1,96,100,1.68,RU,1731311440
61,jamestown,42.097,-79.2353,11.8,82,0,8.23,US,1731311440
62,lihue,21.9789,-159.3672,23.77,98,100,5.66,US,1731311440
63,palu,-0.8917,119.8707,27.97,92,89,1.38,ID,1731311440
64,nago,26.5881,127.9761,25.73,85,67,2.62,JP,1731311440
65,khagaria,25.5,86.4833,30.65,38,0,1.49,IN,1731311440
66,abepura,-2.6333,140.5833,29.45,70,20,4.63,ID,1731311441
67,jayapura,-2.5333,140.7,29.66,85,93,1.79,ID,1731311441
68,contai,21.7786,87.7536,28.51,52,100,2.65,IN,1731311441
69,barra de santo antonio,-9.4047,-35.5072,23.41,85,69,4.44,BR,1731311441
70,anadyr,64.75,177.4833,-13.72,92,20,3.0,RU,1731311441
71,ribeira grande,38.5167,-28.7,20.99,94,75,9.77,PT,1731311441
72,pyapon,16.2833,95.6833,29.79,71,62,2.85,MM,1731311441
73,grafton,42.207,-71.6856,13.48,94,100,6.69,US,1731311441
74,bilibino,68.0546,166.4372,-25.65,100,74,1.76,RU,1731311441
75,punta arenas,-53.15,-70.9167,2.06,87,40,1.54,CL,1731311442
76,mitu,1.1983,-70.1733,20.69,98,100,0.94,CO,1731311442
77,gaspe,48.8334,-64.4819,2.12,100,100,0.0,CA,1731311442
78,port lincoln,-34.7333,135.8667,19.28,71,23,6.85,AU,1731311442
79,hamilton,39.1834,-84.5333,11.16,86,0,1.34,US,1731311442
80,nemuro,43.3236,145.575,8.16,61,53,9.72,JP,1731311442
81,isafjordur,66.0755,-23.124,8.02,66,75,2.57,IS,1731311442
82,bredasdorp,-34.5322,20.0403,20.51,53,19,6.68,ZA,1731311442
83,banda aceh,5.5577,95.3222,29.31,71,85,5.26,ID,1731311443
84,castanos,26.7833,-101.4167,20.19,72,0,0.33,MX,1731311443
85,constantia,44.1833,28.65,5.38,77,100,8.86,RO,1731311443
86,gouyave,12.1646,-61.7296,27.43,83,40,4.12,GD,1731311443
87,bikenibeu village,1.3673,173.1241,28.98,74,40,4.12,KI,1731311443
88,maitum,6.0392,124.4986,28.4,77,61,1.61,PH,1731311443
89,nar'yan-mar,67.6713,53.087,-4.91,90,100,3.42,RU,1731311443
90,tolanaro,-25.0319,46.9987,32.04,58,0,7.2,MG,1731311443
91,taroa,8.7058,171.2275,28.51,76,92,5.64,MH,1731311444
92,hermanus,-34.4187,19.2345,21.56,60,2,6.44,ZA,1731311444
93,isangel,-19.55,169.2667,23.76,78,0,3.86,VU,1731311444
94,cide,41.8921,33.0044,14.63,64,95,2.32,TR,1731311444
95,wanda,-25.9693,-54.5697,21.43,76,0,0.58,AR,1731311444
96,fortuna,40.5982,-124.1573,15.55,90,100,8.75,US,1731311444
97,namibe,-15.1961,12.1522,22.67,67,12,4.6,AO,1731311444
98,uturoa,-16.7333,-151.4333,26.71,84,25,8.63,PF,1731311444
99,longyearbyen,78.2186,15.6401,-3.09,100,75,2.06,SJ,1731311445
100,rostovka,55.3842,71.8891,-7.27,87,100,6.38,RU,1731311445
101,ataq,14.5377,46.8319,24.47,27,43,1.9,YE,1731311445
102,enoch,37.7733,-113.0244,6.93,48,0,1.54,US,1731311182
103,whitehorse,60.7161,-135.0538,-2.57,100,100,1.03,CA,1731311431
104,santa cecilia,-26.9608,-50.4269,14.1,95,83,1.73,BR,1731311445
105,keflavik,64.0049,-22.5624,7.24,100,100,9.77,IS,1731311445
106,weno,7.4515,151.8468,30.97,79,40,3.09,FM,1731311445
107,hasaki,35.7333,140.8333,19.49,71,6,9.39,JP,1731311446
